,Sentence,Entity1,Entity2,relation
365,A8 Russian Plan Splits Iran Talks A serious split emerged between Russia and the United States and Europe on Iran 's nuclear program after the Russians floated a last-minute proposal to allow Iran to make small quantities of nuclear fuel .,Russian Plan,Iran,Russian
366,"He said that when Mr. Bush met Mr. Maliki in Amman , Jordan , last week , they resolved to find ways to help the Iraqis '' get greater capabilities '' and '' more responsibility . ''",Mr. Bush,Mr.,met
367,Mr. Rollins 's two-day visit to India ended Monday and included a meeting with Prime Minister Manmohan Singh .,India,Monday,ended
368,"6 Leader 's Cousin Leaves Syria During a United Nations investigation into the assassination of former Prime Minister Rafik Hariri of Lebanon , a first cousin of President Bashar al-Assad of Syria left the country .",Cousin,Syria,Leaves
369,"INTERNATIONAL A3-7 Chinese Military Spending Is a Threat , Rumsfeld Says Defense Secretary Donald H. Rumsfeld , in a blunt public critique of China , said Beijing 's military spending threatened the security balance in the region and called for an emphasis instead on political freedom and open markets .",Rumsfeld,Defense,Says
370,"Within 48 hours after Hurricane Katrina made landfall , Baton Rouge became Louisiana 's largest city , doubling to about 800,000 residents .",Baton Rouge,Louisiana,became
371,"As President Hu Jintao left China for the United States last week , something was sweeping into Beijing behind him .",Hu Jintao,China,left
372,"This year , a legal challenge from the government of the state of Andhra Pradesh forced Monsanto to slash the royalty it collected from the sale of its patented seeds in India .",Andhra Pradesh,Monsanto,forced
373,"The properties sold to Lennar encompass some 1,300 units in Port Imperial and another 1,200 units in Massachusetts , including projects in Malden , Revere and Hingham and a 585-unit condominium and rental development in East Boston called Portside at Pier One .",East Boston,Portside,called
374,"In the 111th minute , Germany made its third and final substitution , with forward Oliver Neuville replacing Miroslav Klose , the tournament 's leading scorer with five goals .",Oliver Neuville,Miroslav,replacing
375,"Opponents of the proposed terminal call L.N.G. tankers '' floating bombs '' and contend that an accident or terror attack could set off a conflagration along this heavily industrialized stretch of the Delaware River separating New Jersey from Pennsylvania and Delaware , which is lined with oil refineries , hazardous chemical plants and the Salem and Hope Creek nuclear plants . ''",Delaware River,New,separating
376,"By the time Mr. Barber opened Blue Hill , he had worked at Joe 's in Los Angeles , and at seven restaurants in France , including Michel Rostang in Paris .",Mr. Barber,Blue,opened
377,"Prime Minister Ariel Sharon of Israel spoke Thursday to the General Assembly , a body he has long considered a tool of the enemy , and challenged the Palestinians to demonstrate their commitment to peace now that Israel has completed its withdrawal from the Gaza Strip . ''",Israel,Thursday,spoke
378,"When the administrators of the Japan Society in New York asked Murakami if he would like to curate an exhibition in their gallery , he resolved to undertake an exploration of the origins of otaku culture , a subject that , he said , is sketchily understood even in Japan .",New York,Murakami,asked
379,"The American military in Iraq will not abandon the fight against insurgents in Sunni-dominated Anbar Province despite a shift of troops toward Baghdad for a major operation to stifle sectarian violence in the capital , the second-ranking commander in Iraq said Friday .",Iraq,Friday,said
380,"Florida prosecutors on Wednesday dropped a case charging Mayor Buddy Dyer of Orlando with violating election law , and Gov. Jeb Bush reinstated Mr. Dyer after a six-week suspension .",Jeb Bush,Mr.,reinstated
381,MOVIEGOERS who buy a ticket to see Doug Block 's '' 51 Birch Street '' during its theatrical release in New York beginning Oct. 18 may be intrigued to know that this documentary about a Jewish couple on Long Island and their more than 50-year marriage has received a stamp of approval from Al Jazeera .,New York,Oct.,beginning
382,Senator John Kerry of Massachusetts praised Dr. Dean for having '' an energy and an affection '' but rejected suggestions that the Democratic Party needs to be become more liberal -- as some in Mr. Dean 's camp have urged -- to win . '',Massachusetts,Dr.,praised
383,"Israel agreed Monday to hand over security control of two West Bank towns to the Palestinians , a transfer the Palestinians have sought in fitful negotiations since a truce declared by the two sides five weeks ago .",Israel,Monday,agreed
384,"When Prime Minister Wen Jiabao visited Africa recently , he pointedly did not go to Sudan .",Wen Jiabao,Africa,visited
385,"Similarly , Islamic Jihad released a video in which Sami Hammad , 21 , from outside Jenin , on the West Bank , said his bombing was dedicated to the thousands of Palestinians jailed by Israel . ''",Palestinians,Israel,jailed
386,"Ann Lewnes joined Adobe Systems , San Jose , Calif. , as senior vice president for corporate marketing and communications .",Ann Lewnes,Adobe,joined
387,"Over the next few weeks , when everyone else is in Turin overdrive -- wishing they were on the slopes of northern Italy watching Bode Miller or Jeremy Bloom go for gold , or maybe talking about planning a trip to Vancouver for the 2010 Winter Games -- casually drop into the conversation that you 're thinking about going skiing in Almaty , Kazakhstan .",Italy,Bode,watching
388,"Although the Los Angeles Angels , the Dodgers and the Houston Astros pursued Tejada -- and Houston even talked about trading pitcher Roy Oswalt -- the Orioles felt the offers were inadequate .",Houston Astros,Tejada,pursued
389,PAGE A15 Inquiry Puts Focus on Buffett Investigators on three continents are examining units of Warren Buffett 's Berkshire Hathaway for possible financial manipulation .,A15 Inquiry,Focus,Puts
390,A22 Quebec Autonomy Proposed Prime Minister Stephen Harper proposed that the province of Quebec be recognized as a nation within Canada .,Quebec Autonomy,Prime,Proposed
391,"METRO TOUR SERVICE visits Brooklyn Heights , Fort Greene and Clinton Hill , today through Sunday at 2 p.m. ; and downtown Brooklyn , with a stop for gospel music on Sunday at 10 a.m. Also , Downtown Brooklyn , with a stop for gospel music , Sunday at 10 a.m. All meet in front of the Marriott , Adams and Tillary Streets , downtown Brooklyn .",TOUR SERVICE,Brooklyn,visits
392,"Stephen was deployed to Iraq in March 2004 , 11 months after the United States invaded Baghdad ; in September , two-thirds of the way through his tour of duty , the American military death toll topped 1,000 . ''",United States,Baghdad,invaded
393,"And it did not hurt McGrady 's exposure to the Chinese fan base to have joined the Rockets in time for the China Games in 2004 , when Houston played Sacramento in exhibition games in Beijing and Shanghai .",Houston,Sacramento,played
394,"A11 Seeking Revised Casino Rules Mayor C. Ray Nagin of New Orleans proposed changing a Louisiana law to allow several casinos in the Canal Street area , saying they would provide needed revenue to his city .",A11 Seeking,Casino,Revised
395,"The United Nations said Tuesday that the number of foreign peacekeepers in Lebanon had reached 4,950 , which Secretary General Kofi Annan had said would be enough to allow Israel to leave .",United Nations,Tuesday,said
396,"A3 Israeli Chief Wants New Map Israel 's acting prime minister , Ehud Olmert , said that he wants to set the country 's permanent borders , with Israel giving up significant parts of the West Bank but keeping the largest Jewish settlement blocs .",Chief,New,Wants
397,"The Russians considered Mr. Maskhadov a terrorist , not a rebel leader , and accused him of masterminding many of the attacks that have struck from the Caucasus in southern Russia to the heart of Moscow itself in recent years , killing hundreds of civilians in a theater , at a rock concert , on the subway and aboard trains and passenger airliners .",Russians,Mr.,considered
398,"Underscoring the heightened sense of Iran as a dangerous regional player , Prime Minister Tony Blair of Britain accused Iran on Tuesday of supporting Hezbollah with weapons that are '' very similar if not identical to those used against British troops in Basra , '' in Iraq .",Britain,Iran,accused
399,"INTERNATIONAL A3-12 Israel Bombards Lebanon After Hezbollah Hits Haifa The Lebanese militia Hezbollah unleashed its deadliest missile yet on Israel , killing eight people in the city of Haifa .",Hezbollah,Haifa,Hits
400,"METRO TOUR SERVICE visits Brooklyn Heights , Fort Greene and Clinton Hill , today through Sunday at 2 p.m. , and downtown Brooklyn , with a stop for gospel music , on Sunday at 10 a.m. All meeting in front of the Marriott , Adams and Tillary Streets , downtown Brooklyn .",TOUR SERVICE,Brooklyn,visits
401,"His radical aesthetic shift did not please his father , who denounced Maurer 's post-Impressionist canvases when they were shown in New York by Alfred Stieglitz in 1909 , five years before the Armory Show introduced Americans to European modernism .",Armory Show,Americans,introduced
402,"When he spoke about home ownership , Mr. Bush invoked Robert L. Johnson , the founder of Black Entertainment Television , and the Rev. Anthony T. Evans , a prominent African-American pastor in Dallas , calling both men his friends .",Mr. Bush,Robert,invoked
403,"Argentina went ahead in the other semifinal in Buenos Aires when David Nalbandian beat Mark Philippoussis , 6-4 , 6-3 , 6-3 .",David Nalbandian,Mark,beat
404,"It was not long thereafter that Ms. Mackin discovered Murray McMurray , a mail-order hatchery in Webster City , Iowa , that sells 115 types of baby chicks . ''",Ms. Mackin,Murray,discovered
405,"In a review in The New York Times , Jack Gould called Mr. Latshaw '' a remarkable technician who , through movements under the stage , manages to make his figures walk everywhere and anywhere . ''",Jack Gould,Mr.,called
406,"Senator , that episode you refer to was a lapse of judgment on my part , '' Mr. Bernanke told Senator Jim Bunning , Republican of Kentucky . ''",Mr. Bernanke,Senator,told
407,The World Health Organization said China had reported 181 possible cases with 34 deaths ; Hong Kong has reported 11 infected people since May 2004 .,Health Organization,China,said
408,"INTERNATIONAL A3-10 Iraqi Airline Opens Flight From Baghdad to Basra An Iraqi Airways flight between Baghdad and Basra allows quick and safe passage between the capital and the city at the heart of Iraq 's economy , making it perhaps the most significant in-country transportation development since the war began .",Iraqi Airline,Flight,Iraqi
409,"Brooklyn Loses Show The Brooklyn Museum was about to announce that it would be the only American institution getting '' Masterpieces From the Museum of Islamic Art in Doha , Qatar , '' a show of 42 works from the national collection of the Persian Gulf country of Qatar , when it received a surprise e-mail message on Wednesday afternoon from Sabiha al-Khemir , the museum 's chief curator , saying plans had changed .",Brooklyn,Show,Loses
410,"On Sept. 25 of this year , an audience of 250 heard Glenn Gould perform Johann Sebastian Bach 's '' Goldberg '' Variations at the Canadian Broadcasting Center in Toronto .",Glenn Gould,Johann,perform
411,"The Security Council directed Secretary General Kofi Annan on Feb. 3 to start contingency planning for turning the 7,000-man African Union force into a United Nations force at least twice that size .",Security Council,Secretary,directed
412,"Paris had President Jacques Chirac of France and the movie producer Luc Besson ; London had Prime Minister Tony Blair of Britain and the soccer star David Beckham ; New York took Senator Hillary Rodham Clinton , Democrat of New York , and Muhammad Ali ; Madrid had Queen Sofia of Spain ; and Moscow , Prime Minister Mikhail Fradkov of Russia .",New York,Senator,took
413,Bornstein has turned the flap over who will not be able to watch Rutgers play Kansas State -LRB- nearly 70 percent of New Jersey homes do n't receive the NFL Network -RRB- into a maneuver to accelerate his deal-making with Time Warner and Cablevision .,Rutgers,Kansas,play
414,"Each of them won a medal here : Han Xiaopeng won China 's first skiing gold in the men 's aerials Thursday , a day after Li Nina won silver in the women 's .",Han Xiaopeng,China,won
415,"-LRB- Glueck -RRB- EMILY NELLIGAN AND MARVIN BILECK : ` CRANBERRY ISLAND , DRAWINGS AND PRINTS ' Using only charcoal and eraser on ordinary letter paper , Emily Nelligan has for more than 50 years focused on a tiny part of Maine called Great Cranberry Island , one of several specks off the coast near Mount Desert .",Maine,Great,called
416,Mr. Navarrete said at the news conference in Toluca that one piece of evidence against the agents was that the Federal Investigation Agency informed Interpol as late as the day of the killing that there was no indication Mr. Salinas was in Mexico despite the contacts agents had made with him .,Investigation Agency,Interpol,informed
417,"A slim and energetic man , Mr. Watanabe joined Toyota directly from college in 1964 and has worked in a variety of management posts , including supervisor of the sprawling Motomachi auto assembly plant near Toyota 's headquarters in central Japan .",Mr. Watanabe,Toyota,joined
418,"Just then , Chris Webber stopped Iverson and hoisted him three feet into the air , carrying him to the sideline when Detroit called timeout .",Chris Webber,Iverson,stopped
419,"The board of Morgan Stanley elected John J. Mack , a former president of the firm , as its chairman and chief executive , succeeding Philip J. Purcell , the man who forced him out in a bitter power struggle in 2001 .",Morgan Stanley,John,elected
420,Brazil needs Ronaldo .,Brazil,Ronaldo,needs
421,"So there they were that rainy night , together on a panel for the first time -LRB- as far as anyone knew -RRB- : Mr. Soyinka and his fellow literary Nobel laureates Derek Walcott , the Caribbean poet and dramatist ; Nadine Gordimer , the writer from South Africa ; and Ms. Morrison .",Nobel,Derek,laureates
422,"Israel said Wednesday that if the militant faction Hamas took part in next month 's elections for the Palestinian parliament , Palestinians would not be allowed to cast ballots in East Jerusalem .",Israel,Wednesday,said
423,"A4 Lebanon 's Voting Begins Voters in Beirut kicked off the first of four rounds of voting for Parliament in the first elections free of Syrian interference in more than three decades , with a powerful slate led by the son of the assassinated former prime minister heavily favored to sweep the vote .",Voting,Voters,Begins
424,Mr. Bersin left San Diego this year to become secretary of education for the State of California .,Mr. Bersin,San,left
425,Russia angered Israel by inviting Hamas leaders to Moscow for a meeting next month .,Russia,Israel,angered
426,"I made the gravest mistake of my 88 years '' in going to work for Nixon , Mr. Gray told George Stephanopoulos of ABC News , adding that he never again spoke to Nixon after Watergate and repeatedly returned books the former president sent him in later life . ''",Mr. Gray,George,told
427,"The International Criminal Court in The Hague confirmed Friday that it had issued its first arrest warrants , seeking the arrest of the leader , Joseph Kony , and four commanders of the Lord 's Resistance Army rebel movement in Uganda .",Hague,Friday,confirmed
428,"Mr. Knocke said Homeland Security shared the information '' early on with state and local authorities in New York , '' adding , '' There are no plans to alter the national threat level or the threat level in New York City . ''",Mr. Knocke,Homeland,said
429,"After Mr. Bremer left Iraq , and after a short tour by John D. Negroponte , Mr. Khalilzad was appointed the United States ambassador in Baghdad .",Mr. Bremer,Iraq,left
430,News agency reports on Thursday from Iran said President Mahmoud Ahmadinejad had vowed that his country could not abandon its nuclear program while the United States was developing its own nuclear weapons .,Iran,President,said
431,"The Palestinians want Israel to remove all 230,000 settlers from the West Bank , and much of the rest of the world regards the settlements as illegal .",Palestinians,Israel,want
432,"A10 Gunman Kills Tourist in Jordan In the most serious terrorist attack in Jordan since last November , a gunman opened fire on tourists visiting downtown Amman , killing a British man and wounding six others , Jordanian officials said .",A10 Gunman,Tourist,Kills
433,"President Bush called China 's president , Hu Jintao , to discuss North Korea late last week , though the White House gave no details of the conversation .",President Bush,China,called
434,"After the massacre , Father Seromba fled Rwanda , changed his name to Anastasio Sumba Bura and worked as a priest in two parishes near Florence , Italy .",Father Seromba,Rwanda,fled
435,"A month later , he got his wish : the International Olympic Committee selected Vancouver , British Columbia , as the host city for the 2010 Winter Games . ''",Olympic Committee,Vancouver,selected
436,One of the big games in last weekend 's conference tournament in Indianapolis pitted Dials against Marco Killingsworth of Indiana in the semifinals .,Indianapolis,Dials,pitted
437,Mark Hensby of Australia and Michael Campbell of New Zealand trailed Goosen by four strokes while David Toms was five shots back .,New Zealand,Goosen,trailed
438,President Vladimir V. Putin of Russia urged Israel on Friday to allow Palestinian security forces the weaponry required to fight terrorism as he completed a three-day visit to the Middle East intended to revive Russia 's fading influence in the region .,Russia,Israel,urged
439,"Napoleon ruled France , but Humboldt , the central figure in Aaron Sachs 's ambitious first book , '' The Humboldt Current , '' was the toast of all of Europe , as well as a subject of great admiration in the fledgling country across the sea .",Napoleon,France,ruled
440,"A18 Orlando Mayor Cleared Florida prosecutors dropped a case charging Mayor Buddy Dyer of Orlando , Fla. , with violating election law , and Gov. Jeb Bush reinstated Mr. Dyer after a six-week suspension .",Jeb Bush,Mr.,reinstated
441,"Mr. Chen also repeated in stronger terms than usual his desire for a peaceful relationship with China someday -- provided that China accepts Taiwan as an equal , something the Beijing authorities have vowed never to do . ''",China,Taiwan,accepts
442,President Chen Shui-bian of Taiwan called Monday for China and Taiwan to set up a procedure to improve communications between their military and security forces so as to reduce the risk of misunderstandings or even unintended conflicts .,Taiwan,Monday,called
443,"A clash between armed militants and security officers in a village in the Stavropol region of southwestern Russia ended Friday evening after more than 24 hours of sporadic fighting , with 12 militants and at least 6 security officers dead .",Russia,Friday,ended
444,"It is not lost on Turkey , deeply aware of its imperial past , that the conversation the pope quoted in his speech took place here : the Byzantine emperor Manuel II Paleologus , during one of the Ottoman sieges before the Christian empire crumbled and Constantinople became Istanbul , recorded a conversation in 1391 that he said he had had with a '' learned Persian . ''",Constantinople,Istanbul,became
445,"INTERNATIONAL A3-24 Anti-Syrian Lawmaker Killed by Bomb in Lebanon An outspoken Lebanese lawmaker and journalist known for his anti-Syrian views was killed in a car bomb attack as he drove to his office , having returned to Beirut from Paris less than 24 hours earlier .",Lawmaker,Bomb,Killed
446,"Lindsay , who , like Mr. Miller represented Manhattan 's Upper East Side -LRB- it was called the Silk Stocking District then -RRB- , described white Anglo-Saxon Protestants as an endangered species and added : '' You realize you ca n't call any other ethnic group by its pejorative name .",Mr. Miller,Manhattan,represented
447,"A6 Kazakh Incumbent Wins Vote President Nursultan Nazarbayev of Kazakhstan secured a third term in office , though a prominent international observer mission said the election did not meet democratic standards .",Kazakh Incumbent,Vote,Wins
448,The Vatican excommunicated Archbishop Emmanuel Milingo of Zambia in September for ordaining four married men .,Vatican,Archbishop,excommunicated
449,"General Eikenberry met Friday in Kandahar , a former Taliban stronghold , with Gen. Richard B. Myers , chairman of the Joint Chiefs of Staff , who is touring Afghanistan to meet with American troops .",General Eikenberry,Friday,met
450,"Venezuela 's Inclusion in Trade Group Draws Critics Presidents and ministers from Mercosur , South America 's biggest trade bloc , will meet Friday to begin the process of granting membership to Venezuela .",Trade Group,Critics,Draws
451,"3M Names Outsider as New Chief Executive 3M named George W. Buckley , who engineered a turnaround at the Brunswick Corporation , as its chief executive .",M,George,named
452,The top American military commander for the Middle East said Wednesday that to begin a significant troop withdrawal from Iraq over the next six months would lead to an increase in sectarian killings and hamper efforts to persuade the Iraqi government to make the difficult decisions needed to secure the country .,Middle East,Wednesday,said
453,"ROMANOVS ' BID TO REHABILITATE THE CZAR IS DENIED : The Romanov family , descended from Russia 's last czar , Nicholas II , was turned down Monday by a Moscow court in a bid to have Nicholas and his immediate family , who were shot by Bolsheviks in 1918 , named victims of political repression .",CZAR,DENIED,IS
454,Telefonica of Spain agreed Monday to buy the British mobile phone company O2 for $ 31.5 billion in a deal that could spur greater competition in Europe 's more established markets . '',Spain,Monday,agreed
455,Prime Minister Stephen Harper said Canada planned to act on the report but offered no details . '',Stephen Harper,Canada,said
456,"A14 Louisiana Opens I-10 Bridge The State of Louisiana and a contractor were able to open ahead of time one of two spans of Interstate 10 , which was broken into pieces above Lake Pontchartrain by Hurricane Katrina , by cannibalizing one bridge to fix the other .",Louisiana,I-10,Opens
457,The United States welcomed Secretary General Kofi Annan 's new proposals for sweeping change at the United Nations but said it had doubts about his recommendation that the Security Council be the arbiter of when military action was justified . '',United States,Secretary,welcomed
458,"Mr. Tenenbaum hired Mr. Rubin , whose mix of bloodless risk assessment and self-denial became a prototype for future traders , as well as Richard C. Perry , who now runs Perry Capital , a significant hedge fund .",Mr. Tenenbaum,Mr.,hired
459,"Ms. Rice said Washington would support a cease-fire once Hezbollah freed two Israeli soldiers taken captive 13 days ago and pulled back from the border with Israel , said C. David Welch , the assistant secretary of state for Near East affairs .",Ms. Rice,Washington,said
460,"U.S. Spy Planes Reported in Iran UNITED NATIONS , Nov. 7 -LRB- Reuters -RRB- -- Iran has found the wreckage of two pilotless United States spy planes on its territory in recent months , Tehran said Monday .",Tehran,Monday,said
461,"In Najaf , the top United Nations envoy in Iraq met Sunday with Grand Ayatollah Ali al-Sistani , the cleric who helped form the Shiite alliance that won a slight majority of the 275 seats in the new national assembly .",Iraq,Sunday,met
462,"There is no secular purpose in placing on government property a monument declaring ` I am the Lord thy God , '' ' Prof. Erwin Chemerinsky of Duke University Law School wrote in his brief for Thomas Van Orden , an Austin resident who has so far been unsuccessful in his challenge to the Texas monument .",Lord,God,thy
463,"INTERNATIONAL 3-18 Iraq Youths See Futures Frozen The relentless violence that has disfigured much of Iraqi society is hitting Baghdad teenagers in new ways , making planning for college or a job impossible and shrinking their lives to the size of their bedrooms .",Iraq Youths,Futures,See
464,"She was born on February 6 , 1919 , to Gretchen Billings and William Halsted Vander Poel of New York and Oyster Bay .",William,Vander,Halsted
465,"Although Bloomberg has not accepted , Kennedy said James P. Molinaro , the Staten Island borough president ; Michael McMahon , a city council member ; and the state assemblymen Michael Cusick and John W. Lavelle were among those who had attended Nascar races . ''",Kennedy,James,said
466,"Coming events on a calendar maintained at nordicskating.org include the Quechee Winter Carnival and Dewey 's Pond Duathlon , Feb. 13 , with skating and rentals at Wilderness Trails Ski Shop in Quechee -LRB- 802-295-7620 -RRB- ; and the Spitz Sylvan Lake Ice Marathon , Feb. 24 to 26 between Calgary and Edmonton in Alberta , with tours and races on a 10-kilometer -LRB- six-mile -RRB- trail -LRB- www.slimarathon.com ; 403-886-2980 -RRB- .",Wilderness,Shop,Ski
467,"In an editorial that seemed a veiled criticism of political divisiveness in its hometown , The Morning News cited Houston 's '' resilience , resourcefulness and good old Texas neighborliness on a scale that did the whole state proud . '' ''",Morning News,Houston,cited
468,"A8 'Twas Beauty Filled Sin City The Miss America Pageant , which has taken place in Atlantic City for its entire 85-year history , decamped this year for Las Vegas , where tourists this week are bypassing the Celine Dion and Cirque du Soleil shows and flocking instead to the early rounds of the talent and swimsuit competitions .",Twas Beauty,Sin,Filled
469,"Randolph wanted Piazza to be able to play this afternoon against Atlanta starting pitcher Mike Hampton , because Piazza has better career numbers against Hampton -LRB- 15 for 47 with four homers -RRB- than against Smoltz -LRB- 10 for 48 with two homers -RRB- .",Randolph,Piazza,wanted
470,"Imagine schoolchildren in Scarsdale eating New York apple slices , diners in Yonkers ordering Caesar salad made with New York chicken and lettuce , supermarket shoppers in Rye choosing from whole milk , non-fat milk , chocolate milk and even soy milk , all raised and made in New York .",Scarsdale,New,eating
471,"In 1909 , less than two decades after Chicago stole New York 's thunder with the Columbian Exposition , the 300th anniversary of Hudson 's voyage up the river was an extravaganza that lasted two weeks .",Chicago,New,stole
472,"In a 2-1 overtime victory by South Korea over Italy in the second round , Moreno awarded South Korea a disputed penalty kick , disallowed an Italian goal and ejected the Italian playmaker Francesco Totti for diving .",Moreno,South,awarded
473,"Less than 24 hours after California lawmakers narrowly passed the country 's first same-sex marriage bill , a spokeswoman for Gov. Arnold Schwarzenegger said Wednesday that he would veto it '' out of respect for the will of the people . ''",Arnold Schwarzenegger,Wednesday,said
474,"The World Trade Organization announced Thursday that it would start talks to admit Iran as a member , a reward for Tehran 's agreement to continue to freeze its nuclear activities .",Trade Organization,Thursday,announced
475,"Among the issues outstanding are Iran 's refusal to allow inspectors access to a site in Tehran called Lavisan-Shian , which was bulldozed by Iran in 2004 before it could be inspected .",Tehran,Lavisan,called
476,"Mr. Kaye said Mr. Soni , who lives in Livingston , N.J. , had raised money for Mr. Weiner 's campaigns for years , mostly from Indian-Americans involved in operating drug stores and newsstands in New York and New Jersey .",Mr. Kaye,Mr.,said
477,"It 's time for Europe to awaken U.S. leadership , '' Foreign Minister Miguel Angel Moratinos of Spain told Reuters .",Spain,Reuters,told
478,"Bowing to rebels in his own Labor Party , Defense Minister Amir Peretz of Israel called Friday for a full independent inquiry into the recent war in Lebanon , changing his previous position and putting him publicly at odds with Prime Minister Ehud Olmert .",Israel,Friday,called
479,"To the Editor : Re '' Bush Cites Gains but Sees No Cuts in Troops in Iraq '' -LRB- front page , Aug. 12 -RRB- : The striking thing about the growing group of supporters standing with Cindy Sheehan , the California woman whose son was killed in Iraq last year , is the speed with which they have gathered in Crawford , Tex. .",Bush,Gains,Cites
480,"Shiite leaders on Friday selected Jawad al-Maliki , one of their more conservative , forceful and outspoken officials , as their nominee for prime minister , opening the door for him to become the leader of Iraq 's first full-term government since the fall of Saddam Hussein .",Friday,Jawad,selected
481,"In a rebuff to the Bush administration 's efforts to press Latin America to take a tougher stance on Cuba and Venezuela , a Chilean Socialist emerged Friday as the consensus choice to become secretary general of the Organization of American States .",Chilean Socialist,Friday,emerged
482,"They do not seek violent retribution for their oppression under Saddam Hussein , when Sunnis dominated Iraq , and they wo n't brook Iranian interference .",Sunnis,Iraq,dominated
483,"You know , we went in to rescue Iraq from Saddam Hussein , '' Mr. Kerry told Condoleezza Rice , Mr. Bush 's nominee for secretary of state , at a confirmation hearing . ''",Mr. Kerry,Condoleezza,told
484,"In the sermon , Mr. Regas , the former rector , imagined Jesus chiding President Bush and his Democratic opponent , Senator John Kerry of Massachusetts , on topics including the war in Iraq , nuclear weapons , poverty and the increasing income gap .",Jesus,President,chiding
485,"Bridgeport 's mayor , John M. Fabrizi , said Mr. Gomes 's priorities for the city , where registered Democrats outnumber Republicans , six to one , coincided with his own . ''",Democrats,Republicans,outnumber
486,"The Bush administration rejects all such arguments as near madness , especially since Mahmoud Ahmadinejad became Iran 's president . ''",Mahmoud Ahmadinejad,Iran,became
487,"That visa was granted under a process called humanitarian parole , after an application to immigration authorities in Washington supported by Jon S. Corzine , then a United States senator from New Jersey , and Sharpe James , then Newark 's mayor .",Washington,Jon,supported
488,Turkey announced Wednesday that it had requested that Iraq extradite two Turkish Islamists suspected of taking part in a 2003 terrorist attack in Istanbul and being held in Abu Ghraib prison .,Turkey,Wednesday,announced
489,"The previous weekend , when the World Cup visited Lake Louise in Alberta , Canada , Miller won the downhill and the super-G .",World Cup,Lake,visited
490,"Whether we went into Iraq because of the declared -LRB- but baseless -RRB- belief that Saddam Hussein possessed W.M.D. 's or to gain access to Iraqi oil , it is clear that the democracy-exporting justification was a Johnny-come-lately rationale for this imperialistic venture .",Saddam Hussein,W.M.D.,possessed
491,"Mr. Mwanawasa likened Mr. Sata 's xenophobia this month to that of Idi Amin , warning crowds that a Sata victory would cause an exodus of investors like the one in Uganda after Mr. Amin 's reign of terror began .",Mr. Mwanawasa,Mr.,likened
492,"PAGE A12 Syria Cuts Links to U.S. In a sign of growing strains , Syria 's ambassador to the United States said Damascus had '' severed all links '' with the American military and the C.I.A. because of what he called unjust American allegations over the insurgency in Iraq .",United States,Damascus,said
493,"PAGE A4 Mets ' Matsui Feels Pressure Kazuo Matsui , one of Japan 's biggest baseball stars before joining the Mets a year and a half ago , is now fighting to keep his job with them .",Matsui,Pressure,Feels
494,"A10 Taiwan Dissolves China Council President Chen Shui-bian of Taiwan announced that he was scrapping the island 's unification council and guidelines for any political unification with mainland China , defying warnings from both China and the United States .",Taiwan,China,Dissolves
495,"Remy Cointreau USA and its parent , Remy Cointreau of France , recently decided to shift from using one global agency -- Euro RSCG Worldwide , part of Havas -- to hiring various agencies in large regional markets .",Euro,Worldwide,RSCG
496,"In the Illini 's previous game , a 90-89 overtime victory over Arizona in the regional final in Rosemont , Ill. , Williams limited Salim Stoudamire to 9 points while scoring 22 and adding 10 assists .",Williams,Salim,limited
497,"MODZELEWSKI -- Zygmunt born Roman Berger , 101 , died on November 26 , 2005 , in Manhattan , New York .",Zygmunt,Roman,born
498,"Unlike Mr. Gusmao , who fled to the bush when Indonesia invaded East Timor in 1975 , became the leader of the guerrillas and was captured and imprisoned in Jakarta , Mr. Ramos-Horta spent the Indonesian occupation in exile , speaking out for independence .",Indonesia,East,invaded
499,"Leaving Mussina Behind After the Yankees lost Game 2 of their division series in Anaheim on Wednesday , Joe Torre told Mike Mussina to stay in California .",Yankees,Game,lost
500,"China said Friday that it had formally arrested a Hong Kong-based newspaper correspondent and accused him of spying for Taiwan , the latest in a series of signs that China is tightening controls on news organizations .",China,Friday,said
501,China took Japan and the United States to task for declaring that they would jointly defend Taiwan in case of an attack from the mainland .,China,Japan,took
502,"Or , more precisely , to a tiny part of Maine called Great Cranberry Island , one of several specks off the coast near Mount Desert , where she and her artist-husband , Marvin Bileck , summered and worked for more than 50 years .",Maine,Great,called
503,"At Canon , '' We 've got our TV to hit everyone , '' said Rick Booth , marketing services director for the consumer imaging group at Canon USA in Lake Success , N.Y. He was referring to commercials for PowerShot featuring Ms. Sharapova , created by DCA Advertising in New York , owned by Dentsu .",PowerShot,Ms.,featuring
504,The combination of incentives and demands on North Korea were expected to be the focal point when President Bush met President Hu Jintao of China .,President Bush,President,met
505,Representative Jerrold Nadler accused Mayor Michael R. Bloomberg of focusing too much on the Far West Side of Manhattan rather than downtown . '',Jerrold Nadler,Mayor,accused
506,"WEEK IN REVIEW Stones Play China , Minus a Few Songs The Rolling Stones performed in China for the first time , though five songs , including '' Brown Sugar , '' were banned and the crowd for the concert in Shanghai consisted mainly of Westerners .",REVIEW Stones,China,Play
507,"Earlier this year , for example , Secretary of State Condoleezza Rice urged Turkey and Greece not to engage Gazprom as a partner in bringing natural gas to southern Europe .",Condoleezza Rice,Turkey,urged
508,"In 2002 , Bonhams purchased Butterfields from eBay and changed its name in California to Bonhams & Butterfields , to respect the fact that Butterfields was founded in 1865 in San Francisco .",Bonhams,Butterfields,purchased
