,Sentence,Entity1,Entity2,relation
303,"But Saturday 's demonstration was by some estimates the largest to be held in the capital since a massive outpouring an anti-American sentiment in 1999 , after the United States bombed China 's embassy in Belgrade during the war against Serbia .",United States,China,bombed
304,"A7 Peru Seeks Fujimori Extradition The government of Peru formally requested that Chile extradite former President Alberto Fujimori , who governed Peru during the 1990 's and is wanted in Peru on more than a dozen counts of corruption and violating human rights .",A7 Peru,Fujimori,Seeks
305,"In Islamabad , Mr. Aziz said Wednesday that Pakistan had received $ 350 million in aid pledges from foreign countries , and 20,000 Pakistani troops were fanning out across the affected region , but rescue teams had still not reached hundreds of villages . ''",Mr. Aziz,Wednesday,said
306,"To supplement Mr. Koppel 's summary of the historical record , I 'd point out that for a decade after the first gulf war , the United States kept Saddam Hussein at bay by maintaining a no-flight zone over southern Iraq .",United States,Saddam,kept
307,Britain returned Hong Kong to China in 1997 .,Britain,Hong,returned
308,"Bob Corker led Senate candidates with 12,007 spots in Tennessee , and Charlie Crist 's 21,214 commercials in Florida topped the list in races for governor .",Bob Corker,Senate,led
309,"China is modernizing its military and emphasizing preparations '' to fight and win short-duration , high-intensity conflicts '' over Taiwan , the Pentagon said Tuesday with the release of its annual report on Chinese military power .",Pentagon,Tuesday,said
310,"While renewed port calls have improved military-to-military communications , '' there are bumps in the road , '' Mr. Rumsfeld said , a reference to reports in recent days that a Chinese general threatened the United States with a nuclear attack if the United States attacked China during a Taiwan crisis .",United States,China,attacked
311,"The mystery surrounding the fate of Izzat Ibrahim al-Douri , a senior aide to Saddam Hussein and one of the most wanted men in Iraq , deepened as a Web site that had posted a message Saturday announcing Mr. Ibrahim 's death took it down .",Saturday,Mr.,announcing
312,"Last month , when Temple played Xavier University in Cincinnati , Chaney said he was upset that Ohio 's electoral votes had played a deciding role in President Bush 's re-election . ''",Temple,Xavier,played
313,"The one thing he loved more than music was Turkey , '' Anatolia quoted Lyor Cohen , the chief executive of the Warner Music Group , the parent company of Atlantic Records , as saying .",Anatolia,Lyor,quoted
314,"When Kazuhisa Ishii faced Ichiro Suzuki in Japan 's version of the World Series 10 years ago , he walked him and he hit him , but he made sure to never let him hit back .",Kazuhisa Ishii,Ichiro,faced
315,"To the Editor : Re '' Bucking Tide of School Reform , a Superintendent Gets Results '' -LRB- front page , Dec. 4 -RRB- : I had the privilege of being a student at P.S. 193 in Midwood , Brooklyn , when Kathleen M. Cashin was principal there .",Superintendent,Results,Gets
316,"Italy named Gianluigi Buffon , its top goalkeeper , to its World Cup roster yesterday , even though he is under investigation by Italian prosecutors who are scrutinizing betting on soccer matches as part of a billowing scandal .",Italy,Gianluigi,named
317,"Last year , Mr. Murdoch allowed Ms. Regan to move her operations to Los Angeles , part of a strategy to build synergy between the publishing world and Hollywood .",Mr. Murdoch,Ms.,allowed
318,"The White House hopes Mr. Coats -- who is close to Senator Trent Lott , the Mississippi Republican who has been among the conservative critics of Ms. Miers -- will help assuage concerns in the Senate about the nomination .",White House,Mr.,hopes
319,"On the administration 's demand that President Bashar al-Assad of Syria order Hezbollah to halt attacks on Israel , the ambassador said : '' Syria is willing and is capable of playing a constructive role , but not in a simplistic way .",Syria,Hezbollah,order
320,"Prime Minister Stephen Harper proposed Wednesday that Quebecers be recognized as a nation within Canada , injecting himself into a growing debate over how to distinguish the relationship between the French-speaking province and the rest of the predominantly English-speaking country .",Stephen Harper,Wednesday,proposed
321,"Secretary General Kofi Annan said Thursday that he thought the United Nations would avoid a threatened budget showdown at the end of this month over management changes , but he warned against threats to '' pull the plug '' on the organization if it did not meet some countries ' expectations . ''",Kofi Annan,Thursday,said
322,"On Oct. 8 , Philadelphia beat Dallas , 38-24 , behind quarterback Donovan McNabb , who was lost to a season-ending knee injury last month .",Philadelphia,Dallas,beat
323,"The Spitzer campaign , in turn , responded with a statement titled '' Eliot Spitzer Presents Positive Vision for New York 's Future '' that complained about Mr. Suozzi 's angry attacks and '' slash-and-burn rhetoric . '' ''",Eliot Spitzer,Positive,Presents
324,"Mr. Coppola defeated Christopher Jacobs , a lawyer and member of Buffalo 's school board .",Mr. Coppola,Christopher,defeated
325,"In late December , for example , the S.E.C. sued Gary D. Herwitz , an accountant , and Tracey A. Stanyer , an executive vice president at Sirius Satellite Radio , for trading ahead of news in late 2004 that Sirius was going to award a $ 500 million contract to Howard Stern , a radio show host .",S.E.C.,Gary,sued
326,"A6 Spain Denied Access to Suspect The Bush administration has refused to allow the Spanish authorities to interview a man accused of being an operative for Al Qaeda , whose testimony could be crucial to the prosecution of two men in Madrid charged with helping to plan the terrorist attacks of Sept. 11 , 2001 , Spanish officials say .",A6 Spain,Access,Denied
327,"While MetLife advertised Stuyvesant Town , with nearly 9,000 apartments , as a '' suburb in the city , '' James Baldwin , writing about Riverton a decade later , called Harlem 's housing projects as '' cheerless as a prison . ''",MetLife,Stuyvesant,advertised
328,"In fund-raising appeals , on the Internet and in stump speeches , Republicans raise the specter of a Judiciary Committee headed by Representative John Conyers Jr. of Michigan , a banking committee steered by Barney Frank of Massachusetts , a tax-writing committee led by Charles B. Rangel of New York , and an energy panel under the leadership of John D. Dingell of Michigan .",Judiciary Committee,Representative,headed
329,"Heidi Getzlaff , 26 , has been selling cars for seven years at Acura of Glendale , a dealership in California owned by Jeanne and Bill Brewer . ''",California,Jeanne,owned
330,"For example , after the United Nations Security Council voted Monday to demand that Syria cooperate with the Hariri investigation , many people here said they had been shocked to hear Syria 's foreign minister , Farouk al-Sharaa , suggest that saying Syrian security forces knew about the killing in advance would be like saying the United States knew about Sept. 11 in advance , or Spain about the Madrid train bombings , or Britain about the subway attacks .",Security Council,Monday,voted
331,"Mr. Whitehead irked Mr. Spitzer by criticizing his investigation of Maurice R. Greenberg , the former chairman of American International Group .",Mr. Whitehead,Mr.,irked
332,"At the time of his death , Mr. Stevens represented Pink Films International , a television production company in Serbia and Montenegro , and had solicited American producers to shoot cheap remakes of 1950 's B-movies in Belgrade .",Mr. Stevens,Pink,represented
333,"According to the Egyptian Tourist Authority , there has been a 20.9 percent increase in Americans visiting Egypt over the last year , despite the terrorist attacks of 2005 in the Sinai Peninsula resort towns of Taba and Sharm el Sheik , and the attack last April in Dahab .",Americans,Egypt,visiting
334,"If a new threat suddenly arose -- if , for example , Al Qaeda threatened Saudi oil fields , radical Islamist officers got control of Pakistani nuclear weapons or China attacked Taiwan -- Washington could respond forcefully and decisively .",China,Taiwan,attacked
335,"Portland waived Woods last fall , after he was investigated for animal abuse because he trained his dogs to fight , a felony in Oregon .",Portland,Woods,waived
336,"Opens today in Manhattan Directed by Teresa De Pelegri and Dominic Harari In Spanish , with English subtitles 85 minutes When a Jewish girl , Leni , brings home her Palestinian fiance , Rafi -LRB- played by the Spaniard Guillermo Toledo -RRB- , to meet the parents , it sets off a series of zany , romantic and potentially tragic misadventures during one eventful night in Madrid . ''",Manhattan,Teresa,Directed
337,"She has asked for a medical bye onto the Olympic team , and will learn her fate when a committee from United States Figure Skating meets Saturday to pick the three skaters who will go to Turin , Italy .",Figure Skating,Saturday,meets
338,"The University of Chicago gave Glaeser the opportunity to study at what was arguably , at the time , the best economics department in the United States , a stellar lineup of soon-to-be Nobel laureates like Gary Becker and Robert Lucas .",Chicago,Glaeser,gave
339,"It is a chillingly familiar situation for Shula , who lost quarterback Brodie Croyle for the season last year after he was injured in the third quarter with Alabama leading Western Carolina , 31-0 .",Alabama,Western,leading
340,"Taking a chapter from Chinese-American diplomacy during the Nixon administration , China announced Tuesday that it would give a pair of giant pandas to Taiwan , the latest step in an evolving detente .",China,Tuesday,announced
341,"There is no suspicion that this World Cup , involving national teams , is dirty , but with one of the great leagues being investigated , the entire sport is under a pall , even as the Italians play Ukraine tonight in Hamburg and host Germany plays Argentina in Berlin , in the quarterfinals .",Italians,Ukraine,play
342,"Secretary of State Condoleezza Rice called Tuesday for France and Europe to put aside differences with the United States and embark on a joint effort to expand freedom in the Arab world , build a new Iraq and bring about peace in the Middle East .",Condoleezza Rice,Tuesday,called
343,"An article on Thursday about a poll that showed Senator Joseph I. Lieberman of Connecticut leading Ned Lamont , his Democratic challenger , misstated the amount of money that Mr. Lamont has contributed to his own campaign .",Connecticut,Ned,leading
344,"Matter Embraced : Paintings 1950 's and Now Knoedler & Company 19 East 70th Street , Manhattan Through Nov. 5 Every five or six years , the Color Field painter Jules Olitski reminds New York that he is still alive and kicking .",Jules Olitski,New,reminds
345,"His buildings in China include Qingpu Community Island in Shanghai , the Centennial TV and Radio Center in Xian and Tianyi City Plaza in Ningpo .",China,Qingpu,include
346,"There Ms. Liu met Hu Jia , one of China 's leading advocates for people with AIDS .",Ms. Liu,Hu,met
347,"When the United States attacked Afghanistan , American intelligence officials have said Zarqawi made his way through Iran to autonomous Kurdistan in northern Iraq , where he may have linked up with the terrorist group Ansar al-Islam in a region outside of Saddam Hussein 's reach .",United States,Afghanistan,attacked
348,"Mr. Shadegg joined Representatives John A. Boehner of Ohio , chairman of the Education and Workforce Committee , and Roy Blunt of Missouri , the acting majority leader , in the race to assume the post vacated by Representative Tom DeLay of Texas . ''",Mr. Shadegg,Representatives,joined
349,"Other Social Democrats say Russia should not be boxed into a corner over human rights , and that the country needs time and patience from Europe because it has scarcely had a democratic tradition .",Social Democrats,Russia,say
350,"He said that when Mr. Bush met Mr. Maliki in Amman , Jordan , last week , they resolved to find ways to help the Iraqis '' get greater capabilities '' and '' more responsibility . ''",Mr. Bush,Mr.,met
351,Mr. Rollins 's two-day visit to India ended Monday and included a meeting with Prime Minister Manmohan Singh .,India,Monday,ended
352,Ebersol rebuilt NBC 's football credibility by hiring Al Michaels and John Madden to call the games and Andrea Kremer to report from the sidelines .,Ebersol,NBC,rebuilt
353,"6 Leader 's Cousin Leaves Syria During a United Nations investigation into the assassination of former Prime Minister Rafik Hariri of Lebanon , a first cousin of President Bashar al-Assad of Syria left the country .",Cousin,Syria,Leaves
354,"INTERNATIONAL A3-7 Chinese Military Spending Is a Threat , Rumsfeld Says Defense Secretary Donald H. Rumsfeld , in a blunt public critique of China , said Beijing 's military spending threatened the security balance in the region and called for an emphasis instead on political freedom and open markets .",Rumsfeld,Defense,Says
355,"Within 48 hours after Hurricane Katrina made landfall , Baton Rouge became Louisiana 's largest city , doubling to about 800,000 residents .",Baton Rouge,Louisiana,became
356,"As President Hu Jintao left China for the United States last week , something was sweeping into Beijing behind him .",Hu Jintao,China,left
357,"Before I departed Lisbon , I paid homage to Portugal 's adventurers by visiting the Mosteiro dos Jeronimos , a 500-year-old monastery where seamen would make their last confessions before sailing off unforeseen be damned !",Mosteiro,Jeronimos,dos
358,"This year , a legal challenge from the government of the state of Andhra Pradesh forced Monsanto to slash the royalty it collected from the sale of its patented seeds in India .",Andhra Pradesh,Monsanto,forced
359,"The properties sold to Lennar encompass some 1,300 units in Port Imperial and another 1,200 units in Massachusetts , including projects in Malden , Revere and Hingham and a 585-unit condominium and rental development in East Boston called Portside at Pier One .",East Boston,Portside,called
360,"In the 111th minute , Germany made its third and final substitution , with forward Oliver Neuville replacing Miroslav Klose , the tournament 's leading scorer with five goals .",Oliver Neuville,Miroslav,replacing
361,"Opponents of the proposed terminal call L.N.G. tankers '' floating bombs '' and contend that an accident or terror attack could set off a conflagration along this heavily industrialized stretch of the Delaware River separating New Jersey from Pennsylvania and Delaware , which is lined with oil refineries , hazardous chemical plants and the Salem and Hope Creek nuclear plants . ''",Delaware River,New,separating
362,"By the time Mr. Barber opened Blue Hill , he had worked at Joe 's in Los Angeles , and at seven restaurants in France , including Michel Rostang in Paris .",Mr. Barber,Blue,opened
363,"Prime Minister Ariel Sharon of Israel spoke Thursday to the General Assembly , a body he has long considered a tool of the enemy , and challenged the Palestinians to demonstrate their commitment to peace now that Israel has completed its withdrawal from the Gaza Strip . ''",Israel,Thursday,spoke
364,"Putting In Effort Pays Off in Upset at U.S. Open Mikhail Youzhny , above , of Russia eliminated second-seeded Rafael Nadal of Spain in four sets at the United States Open .",Effort,Off,Pays
365,"When the administrators of the Japan Society in New York asked Murakami if he would like to curate an exhibition in their gallery , he resolved to undertake an exploration of the origins of otaku culture , a subject that , he said , is sketchily understood even in Japan .",New York,Murakami,asked
366,"The American military in Iraq will not abandon the fight against insurgents in Sunni-dominated Anbar Province despite a shift of troops toward Baghdad for a major operation to stifle sectarian violence in the capital , the second-ranking commander in Iraq said Friday .",Iraq,Friday,said
367,"Florida prosecutors on Wednesday dropped a case charging Mayor Buddy Dyer of Orlando with violating election law , and Gov. Jeb Bush reinstated Mr. Dyer after a six-week suspension .",Jeb Bush,Mr.,reinstated
368,Senator John Kerry of Massachusetts praised Dr. Dean for having '' an energy and an affection '' but rejected suggestions that the Democratic Party needs to be become more liberal -- as some in Mr. Dean 's camp have urged -- to win . '',Massachusetts,Dr.,praised
369,"Israel agreed Monday to hand over security control of two West Bank towns to the Palestinians , a transfer the Palestinians have sought in fitful negotiations since a truce declared by the two sides five weeks ago .",Israel,Monday,agreed
370,"A3 Burning of Corpses Condemned President Hamid Karzai condemned the reported burning and desecration of two dead Taliban fighters by American troops in southern Afghanistan , and said he had ordered an investigation .",Corpses,President,Corpses
371,"When Prime Minister Wen Jiabao visited Africa recently , he pointedly did not go to Sudan .",Wen Jiabao,Africa,visited
372,"Similarly , Islamic Jihad released a video in which Sami Hammad , 21 , from outside Jenin , on the West Bank , said his bombing was dedicated to the thousands of Palestinians jailed by Israel . ''",Palestinians,Israel,jailed
373,"Ann Lewnes joined Adobe Systems , San Jose , Calif. , as senior vice president for corporate marketing and communications .",Ann Lewnes,Adobe,joined
374,"Over the next few weeks , when everyone else is in Turin overdrive -- wishing they were on the slopes of northern Italy watching Bode Miller or Jeremy Bloom go for gold , or maybe talking about planning a trip to Vancouver for the 2010 Winter Games -- casually drop into the conversation that you 're thinking about going skiing in Almaty , Kazakhstan .",Italy,Bode,watching
375,"Although the Los Angeles Angels , the Dodgers and the Houston Astros pursued Tejada -- and Houston even talked about trading pitcher Roy Oswalt -- the Orioles felt the offers were inadequate .",Houston Astros,Tejada,pursued
376,A22 Quebec Autonomy Proposed Prime Minister Stephen Harper proposed that the province of Quebec be recognized as a nation within Canada .,Quebec Autonomy,Prime,Proposed
377,"But JaMarcus Russell , who was intercepted three times , fumbled a snap at the Florida 1 and Gators linebacker Brandon Siler recovered , ending a 17-play drive for L.S.U. with no points . ''",Gators,Brandon,linebacker
378,"Stephen was deployed to Iraq in March 2004 , 11 months after the United States invaded Baghdad ; in September , two-thirds of the way through his tour of duty , the American military death toll topped 1,000 . ''",United States,Baghdad,invaded
379,"And it did not hurt McGrady 's exposure to the Chinese fan base to have joined the Rockets in time for the China Games in 2004 , when Houston played Sacramento in exhibition games in Beijing and Shanghai .",Houston,Sacramento,played
380,"PAGE A18 Queens Race Attack Alleged Three white men set upon three black men in Howard Beach , Queens , beating one with a bat and fracturing his skull , officials said .",PAGE A18,Race,Queens
381,"A11 Seeking Revised Casino Rules Mayor C. Ray Nagin of New Orleans proposed changing a Louisiana law to allow several casinos in the Canal Street area , saying they would provide needed revenue to his city .",A11,Revised,Seeking
382,"The United Nations said Tuesday that the number of foreign peacekeepers in Lebanon had reached 4,950 , which Secretary General Kofi Annan had said would be enough to allow Israel to leave .",United Nations,Tuesday,said
383,"A3 Israeli Chief Wants New Map Israel 's acting prime minister , Ehud Olmert , said that he wants to set the country 's permanent borders , with Israel giving up significant parts of the West Bank but keeping the largest Jewish settlement blocs .",Chief,New,Wants
384,"The Russians considered Mr. Maskhadov a terrorist , not a rebel leader , and accused him of masterminding many of the attacks that have struck from the Caucasus in southern Russia to the heart of Moscow itself in recent years , killing hundreds of civilians in a theater , at a rock concert , on the subway and aboard trains and passenger airliners .",Russians,Mr.,considered
385,"Underscoring the heightened sense of Iran as a dangerous regional player , Prime Minister Tony Blair of Britain accused Iran on Tuesday of supporting Hezbollah with weapons that are '' very similar if not identical to those used against British troops in Basra , '' in Iraq .",Britain,Iran,accused
386,"His radical aesthetic shift did not please his father , who denounced Maurer 's post-Impressionist canvases when they were shown in New York by Alfred Stieglitz in 1909 , five years before the Armory Show introduced Americans to European modernism .",Armory Show,Americans,introduced
387,"When he spoke about home ownership , Mr. Bush invoked Robert L. Johnson , the founder of Black Entertainment Television , and the Rev. Anthony T. Evans , a prominent African-American pastor in Dallas , calling both men his friends .",Mr. Bush,Robert,invoked
388,"Argentina went ahead in the other semifinal in Buenos Aires when David Nalbandian beat Mark Philippoussis , 6-4 , 6-3 , 6-3 .",David Nalbandian,Mark,beat
389,"It was not long thereafter that Ms. Mackin discovered Murray McMurray , a mail-order hatchery in Webster City , Iowa , that sells 115 types of baby chicks . ''",Ms. Mackin,Murray,discovered
390,"In a review in The New York Times , Jack Gould called Mr. Latshaw '' a remarkable technician who , through movements under the stage , manages to make his figures walk everywhere and anywhere . ''",Jack Gould,Mr.,called
391,A10 China Leader to Begin U.S. Visit President Hu Jintao will travel to Washington this week for his first White House visit as China 's top leader .,U.S.,President,Visit
392,"Senator , that episode you refer to was a lapse of judgment on my part , '' Mr. Bernanke told Senator Jim Bunning , Republican of Kentucky . ''",Mr. Bernanke,Senator,told
393,The World Health Organization said China had reported 181 possible cases with 34 deaths ; Hong Kong has reported 11 infected people since May 2004 .,Health Organization,China,said
394,"Washington was pegged for greatness as a senior at Andrew Jackson High when he was named Mr. Football in Florida , joining a list of honorees that includes the former Dallas Cowboys running back Emmitt Smith and Arizona Cardinals receiver Anquan Boldin .",Arizona Cardinals,Anquan,receiver
395,"On Sept. 25 of this year , an audience of 250 heard Glenn Gould perform Johann Sebastian Bach 's '' Goldberg '' Variations at the Canadian Broadcasting Center in Toronto .",Glenn Gould,Johann,perform
396,"The Security Council directed Secretary General Kofi Annan on Feb. 3 to start contingency planning for turning the 7,000-man African Union force into a United Nations force at least twice that size .",Security Council,Secretary,directed
397,"Paris had President Jacques Chirac of France and the movie producer Luc Besson ; London had Prime Minister Tony Blair of Britain and the soccer star David Beckham ; New York took Senator Hillary Rodham Clinton , Democrat of New York , and Muhammad Ali ; Madrid had Queen Sofia of Spain ; and Moscow , Prime Minister Mikhail Fradkov of Russia .",New York,Senator,took
398,Bornstein has turned the flap over who will not be able to watch Rutgers play Kansas State -LRB- nearly 70 percent of New Jersey homes do n't receive the NFL Network -RRB- into a maneuver to accelerate his deal-making with Time Warner and Cablevision .,Rutgers,Kansas,play
399,"The United States and the European Union regard Hamas as a terrorist group and have refused to deal with the organization , though Russia invited a Hamas delegation to Moscow earlier this month .",European Union,Hamas,regard
400,"If it does nothing else , '' Stryker , '' a grim little gang melodrama directed by Noam Gonick , might dispel some American assumptions about life in Canada .",gang melodrama,Noam,directed
401,"Each of them won a medal here : Han Xiaopeng won China 's first skiing gold in the men 's aerials Thursday , a day after Li Nina won silver in the women 's .",Han Xiaopeng,China,won
402,"-LRB- Glueck -RRB- EMILY NELLIGAN AND MARVIN BILECK : ` CRANBERRY ISLAND , DRAWINGS AND PRINTS ' Using only charcoal and eraser on ordinary letter paper , Emily Nelligan has for more than 50 years focused on a tiny part of Maine called Great Cranberry Island , one of several specks off the coast near Mount Desert .",Maine,Great,called
403,"A1 Iran Rejects New Nuclear Offer President Mahmoud Ahmadinejad of Iran defied pressure from foreign leaders to accept a package of incentives in return for ending all nuclear activities , saying Iran would pursue its legal right to develop a peaceful nuclear program .",A1 Iran,New,Rejects
404,Mr. Navarrete said at the news conference in Toluca that one piece of evidence against the agents was that the Federal Investigation Agency informed Interpol as late as the day of the killing that there was no indication Mr. Salinas was in Mexico despite the contacts agents had made with him .,Investigation Agency,Interpol,informed
405,"A slim and energetic man , Mr. Watanabe joined Toyota directly from college in 1964 and has worked in a variety of management posts , including supervisor of the sprawling Motomachi auto assembly plant near Toyota 's headquarters in central Japan .",Mr. Watanabe,Toyota,joined
406,"Just then , Chris Webber stopped Iverson and hoisted him three feet into the air , carrying him to the sideline when Detroit called timeout .",Chris Webber,Iverson,stopped
407,"The board of Morgan Stanley elected John J. Mack , a former president of the firm , as its chairman and chief executive , succeeding Philip J. Purcell , the man who forced him out in a bitter power struggle in 2001 .",Morgan Stanley,John,elected
408,Brazil needs Ronaldo .,Brazil,Ronaldo,needs
409,"So there they were that rainy night , together on a panel for the first time -LRB- as far as anyone knew -RRB- : Mr. Soyinka and his fellow literary Nobel laureates Derek Walcott , the Caribbean poet and dramatist ; Nadine Gordimer , the writer from South Africa ; and Ms. Morrison .",Nobel,Derek,laureates
410,"Israel said Wednesday that if the militant faction Hamas took part in next month 's elections for the Palestinian parliament , Palestinians would not be allowed to cast ballots in East Jerusalem .",Israel,Wednesday,said
411,Mr. Bersin left San Diego this year to become secretary of education for the State of California .,Mr. Bersin,San,left
412,Russia angered Israel by inviting Hamas leaders to Moscow for a meeting next month .,Russia,Israel,angered
413,"I made the gravest mistake of my 88 years '' in going to work for Nixon , Mr. Gray told George Stephanopoulos of ABC News , adding that he never again spoke to Nixon after Watergate and repeatedly returned books the former president sent him in later life . ''",Mr. Gray,George,told
414,"The International Criminal Court in The Hague confirmed Friday that it had issued its first arrest warrants , seeking the arrest of the leader , Joseph Kony , and four commanders of the Lord 's Resistance Army rebel movement in Uganda .",Hague,Friday,confirmed
415,"Mr. Knocke said Homeland Security shared the information '' early on with state and local authorities in New York , '' adding , '' There are no plans to alter the national threat level or the threat level in New York City . ''",Mr. Knocke,Homeland,said
416,"After Mr. Bremer left Iraq , and after a short tour by John D. Negroponte , Mr. Khalilzad was appointed the United States ambassador in Baghdad .",Mr. Bremer,Iraq,left
417,News agency reports on Thursday from Iran said President Mahmoud Ahmadinejad had vowed that his country could not abandon its nuclear program while the United States was developing its own nuclear weapons .,Iran,President,said
418,"The Palestinians want Israel to remove all 230,000 settlers from the West Bank , and much of the rest of the world regards the settlements as illegal .",Palestinians,Israel,want
419,"President Bush called China 's president , Hu Jintao , to discuss North Korea late last week , though the White House gave no details of the conversation .",President Bush,China,called
420,"After the massacre , Father Seromba fled Rwanda , changed his name to Anastasio Sumba Bura and worked as a priest in two parishes near Florence , Italy .",Father Seromba,Rwanda,fled
421,"A month later , he got his wish : the International Olympic Committee selected Vancouver , British Columbia , as the host city for the 2010 Winter Games . ''",Olympic Committee,Vancouver,selected
422,"Robbinschilds performs Saturday at the Autumn Bowl , 73 West Street , Greenpoint , Brooklyn ; (917) 749-5393 or robbinschilds.com .",Robbinschilds,Saturday,performs
423,Mark Hensby of Australia and Michael Campbell of New Zealand trailed Goosen by four strokes while David Toms was five shots back .,New Zealand,Goosen,trailed
424,President Vladimir V. Putin of Russia urged Israel on Friday to allow Palestinian security forces the weaponry required to fight terrorism as he completed a three-day visit to the Middle East intended to revive Russia 's fading influence in the region .,Russia,Israel,urged
425,"Napoleon ruled France , but Humboldt , the central figure in Aaron Sachs 's ambitious first book , '' The Humboldt Current , '' was the toast of all of Europe , as well as a subject of great admiration in the fledgling country across the sea .",Napoleon,France,ruled
426,"A18 Orlando Mayor Cleared Florida prosecutors dropped a case charging Mayor Buddy Dyer of Orlando , Fla. , with violating election law , and Gov. Jeb Bush reinstated Mr. Dyer after a six-week suspension .",Orlando Mayor,Florida,Cleared
427,"Mr. Chen also repeated in stronger terms than usual his desire for a peaceful relationship with China someday -- provided that China accepts Taiwan as an equal , something the Beijing authorities have vowed never to do . ''",China,Taiwan,accepts
428,President Chen Shui-bian of Taiwan called Monday for China and Taiwan to set up a procedure to improve communications between their military and security forces so as to reduce the risk of misunderstandings or even unintended conflicts .,Taiwan,Monday,called
429,"A clash between armed militants and security officers in a village in the Stavropol region of southwestern Russia ended Friday evening after more than 24 hours of sporadic fighting , with 12 militants and at least 6 security officers dead .",Russia,Friday,ended
430,"It is not lost on Turkey , deeply aware of its imperial past , that the conversation the pope quoted in his speech took place here : the Byzantine emperor Manuel II Paleologus , during one of the Ottoman sieges before the Christian empire crumbled and Constantinople became Istanbul , recorded a conversation in 1391 that he said he had had with a '' learned Persian . ''",Constantinople,Istanbul,became
431,"Lindsay , who , like Mr. Miller represented Manhattan 's Upper East Side -LRB- it was called the Silk Stocking District then -RRB- , described white Anglo-Saxon Protestants as an endangered species and added : '' You realize you ca n't call any other ethnic group by its pejorative name .",Mr. Miller,Manhattan,represented
432,The Vatican excommunicated Archbishop Emmanuel Milingo of Zambia in September for ordaining four married men .,Vatican,Archbishop,excommunicated
433,"General Eikenberry met Friday in Kandahar , a former Taliban stronghold , with Gen. Richard B. Myers , chairman of the Joint Chiefs of Staff , who is touring Afghanistan to meet with American troops .",General Eikenberry,Friday,met
434,"3M Names Outsider as New Chief Executive 3M named George W. Buckley , who engineered a turnaround at the Brunswick Corporation , as its chief executive .",3 M,George,named
435,The top American military commander for the Middle East said Wednesday that to begin a significant troop withdrawal from Iraq over the next six months would lead to an increase in sectarian killings and hamper efforts to persuade the Iraqi government to make the difficult decisions needed to secure the country .,Middle East,Wednesday,said
436,Telefonica of Spain agreed Monday to buy the British mobile phone company O2 for $ 31.5 billion in a deal that could spur greater competition in Europe 's more established markets . '',Spain,Monday,agreed
437,Prime Minister Stephen Harper said Canada planned to act on the report but offered no details . '',Stephen Harper,Canada,said
438,"A3 Palestinians May Delay Vote The Palestinian president , Mahmoud Abbas , raised for the first time the possibility of delaying legislative elections this month , saying the vote would be impossible if Israel did not allow residents of East Jerusalem to participate .",A3 Palestinians,Delay,May
439,The United States welcomed Secretary General Kofi Annan 's new proposals for sweeping change at the United Nations but said it had doubts about his recommendation that the Security Council be the arbiter of when military action was justified . '',United States,Secretary,welcomed
440,"Mr. Tenenbaum hired Mr. Rubin , whose mix of bloodless risk assessment and self-denial became a prototype for future traders , as well as Richard C. Perry , who now runs Perry Capital , a significant hedge fund .",Mr. Tenenbaum,Mr.,hired
441,"Ms. Rice said Washington would support a cease-fire once Hezbollah freed two Israeli soldiers taken captive 13 days ago and pulled back from the border with Israel , said C. David Welch , the assistant secretary of state for Near East affairs .",Ms. Rice,Washington,said
442,"U.S. Spy Planes Reported in Iran UNITED NATIONS , Nov. 7 -LRB- Reuters -RRB- -- Iran has found the wreckage of two pilotless United States spy planes on its territory in recent months , Tehran said Monday .",Tehran,Monday,said
443,"In Najaf , the top United Nations envoy in Iraq met Sunday with Grand Ayatollah Ali al-Sistani , the cleric who helped form the Shiite alliance that won a slight majority of the 275 seats in the new national assembly .",Iraq,Sunday,met
444,"Although Bloomberg has not accepted , Kennedy said James P. Molinaro , the Staten Island borough president ; Michael McMahon , a city council member ; and the state assemblymen Michael Cusick and John W. Lavelle were among those who had attended Nascar races . ''",Kennedy,James,said
445,"In an editorial that seemed a veiled criticism of political divisiveness in its hometown , The Morning News cited Houston 's '' resilience , resourcefulness and good old Texas neighborliness on a scale that did the whole state proud . '' ''",Morning News,Houston,cited
446,"In '' When the Astors Owned New York : Blue Bloods and Grand Hotels in a Gilded Age '' -LRB- Viking , $ 24.95 -RRB- , Mr. Kaplan shifts his object from American letters to the business dynasty that helped shape the Manhattan landscape .",Astors,New,Owned
447,"Randolph wanted Piazza to be able to play this afternoon against Atlanta starting pitcher Mike Hampton , because Piazza has better career numbers against Hampton -LRB- 15 for 47 with four homers -RRB- than against Smoltz -LRB- 10 for 48 with two homers -RRB- .",Randolph,Piazza,wanted
448,"Imagine schoolchildren in Scarsdale eating New York apple slices , diners in Yonkers ordering Caesar salad made with New York chicken and lettuce , supermarket shoppers in Rye choosing from whole milk , non-fat milk , chocolate milk and even soy milk , all raised and made in New York .",Scarsdale,New,eating
449,"Governor for 2 1\/2 Years , Rell Gets Inaugural Ball The inaugural ball for Gov. M. Jodi Rell , who was elected for the first time in November after taking over from John G. Rowland in July 2004 , will take place Tuesday night at the Connecticut Expo Center in Hartford .",Rell,Inaugural,Gets
